model,best_alpha,validation_mse,test_rmse,test_mae,test_r2,top_geopolitical_representation
DeepSeek_Ridge,6098.666701068888,1.5061321339720085e-05,0.0044741380405025,0.003467532513004244,-0.11649754696166204,MA10
Gemma_Ridge,17990.09915577833,1.5167137080516047e-05,0.004361883833064401,0.0034077033371618807,-0.06117547656679134,MA10
