representation,sum,mean,count
MA10,0.00014950610722545585,1.6611789691717316e-05,9
Mean,3.2877411194215176e-05,1.0959137064738392e-05,3
Difference,8.678123262504945e-05,9.64235918056105e-06,9
MA5,7.473366552095328e-05,8.303740613439254e-06,9
Lag,0.0002867706647304824,7.965851798068956e-06,36
MA3,4.5055444180465556e-05,5.006160464496173e-06,9
Max,1.1436900285347088e-05,3.8123000951156957e-06,3
Sum,9.948699095611689e-06,3.316233031870563e-06,3
