feature,coefficient,abs_coefficient,source,geopolitical_index,representation
trade_max_ma3,-3.0828179852409977e-06,3.0828179852409977e-06,Geopolitical,Trade,MA3
fed_pressure_max_lag2,-2.904464204571255e-06,2.904464204571255e-06,Geopolitical,Fed Pressure,Lag
trade_sum_lag2,-2.861512116288572e-06,2.861512116288572e-06,Geopolitical,Trade,Lag
sanctions_sum_ma3,-2.622494170980587e-06,2.622494170980587e-06,Geopolitical,Sanctions,MA3
fed_pressure_mean,2.61011885311617e-06,2.61011885311617e-06,Geopolitical,Fed Pressure,Mean
sanctions_max_lag5,-2.571596064772078e-06,2.571596064772078e-06,Geopolitical,Sanctions,Lag
fed_pressure_max_lag1,2.3495156286051666e-06,2.3495156286051666e-06,Geopolitical,Fed Pressure,Lag
fed_pressure_max_ma3,2.173652349494541e-06,2.173652349494541e-06,Geopolitical,Fed Pressure,MA3
USEPUINDXD,2.134679387857496e-06,2.134679387857496e-06,Macro,,Other
sanctions_max,-2.1203765023380917e-06,2.1203765023380917e-06,Geopolitical,Sanctions,Max
fed_pressure_sum_lag3,-2.1040446942023136e-06,2.1040446942023136e-06,Geopolitical,Fed Pressure,Lag
fed_pressure_sum_ma3,-1.924458070797101e-06,1.924458070797101e-06,Geopolitical,Fed Pressure,MA3
fed_pressure_max_diff,1.6788133105191125e-06,1.6788133105191125e-06,Geopolitical,Fed Pressure,Difference
fed_pressure_sum_lag1,1.5541945729166604e-06,1.5541945729166604e-06,Geopolitical,Fed Pressure,Lag
sanctions_mean_lag5,1.5032295245138523e-06,1.5032295245138523e-06,Geopolitical,Sanctions,Lag
fed_pressure_sum,1.2806424713853287e-06,1.2806424713853287e-06,Geopolitical,Fed Pressure,Sum
trade_max_lag5,1.2770848025343068e-06,1.2770848025343068e-06,Geopolitical,Trade,Lag
fed_pressure_max_ma5,8.790052295573912e-07,8.790052295573912e-07,Geopolitical,Fed Pressure,MA5
fed_pressure_sum_lag5,5.865752103377482e-07,5.865752103377482e-07,Geopolitical,Fed Pressure,Lag
fed_pressure_max_lag3,5.152232623682847e-07,5.152232623682847e-07,Geopolitical,Fed Pressure,Lag
sanctions_sum_lag3,3.761274850975474e-07,3.761274850975474e-07,Geopolitical,Sanctions,Lag
fed_pressure_max_lag5,-3.711981301192869e-07,3.711981301192869e-07,Geopolitical,Fed Pressure,Lag
sanctions_mean_lag1,-2.580944054683148e-07,2.580944054683148e-07,Geopolitical,Sanctions,Lag
trade_max_lag2,1.9172216189366722e-07,1.9172216189366722e-07,Geopolitical,Trade,Lag
USEPUINDXD_diff_lag3,-1.4783105954574216e-07,1.4783105954574216e-07,Macro,,Difference
fed_pressure_sum_diff,-1.3490965478641643e-07,1.3490965478641643e-07,Geopolitical,Fed Pressure,Difference
