representation,sum,mean,count
MA10,7.587406772054217e-05,8.43045196894913e-06,9
MA3,3.5946436170060706e-05,3.994048463340078e-06,9
MA5,3.509347978298052e-05,3.89927553144228e-06,9
Sum,1.1650386377587755e-05,3.883462125862585e-06,3
Lag,0.00012236897453706067,3.3991381815850187e-06,36
Max,8.751992687430114e-06,2.917330895810038e-06,3
Difference,2.2996659572538288e-05,2.5551843969486988e-06,9
Mean,7.5631095050627394e-06,2.5210365016875797e-06,3
