target,horizon,LLM,Macro_RMSE,LLM_RMSE,RMSE_improvement_pct,loss_improvement,HAC_statistic,p_raw,p_FDR_BH,p_Holm,p_for_correction
volatility,5,DeepSeek,0.003012677418736124,0.0035305580804128544,-17.19004691494622,-3.3886151298059415e-06,-5.16663987703382,2.3833985044544696e-07,3.8134376071271514e-06,3.8134376071271514e-06,2.3833985044544696e-07
volatility,10,DeepSeek,0.0025014064615603866,0.004489295531280727,-79.4708537084488,-1.3896740081241044e-05,-4.798485421289551,1.5986994214492247e-06,1.2789595371593798e-05,2.398049132173837e-05,1.5986994214492247e-06
volatility,5,Gemma,0.003012677418736124,0.003126517816079621,-3.7787118074943233,-6.988884249007264e-07,-3.8311394468463957,0.0001275511855478445,0.000680272989588504,0.001785716597669823,0.0001275511855478445
volatility,10,Gemma,0.0025014064615603866,0.003452645662952963,-38.02817398973176,-5.663727787971852e-06,-3.5012011105291285,0.00046316618212335523,0.001852664728493421,0.006021160367603618,0.00046316618212335523
return,21,Gemma,0.021973796211219605,0.01997985059126398,9.074197288393602,8.365329028297738e-05,2.21248971303522,0.026932846210193297,0.08618510787261854,0.3231941545223196,0.026932846210193297
volatility,21,Gemma,0.0036838228216963358,0.0034206218296571225,7.144778801224045,1.8698968801239137e-06,1.6647110776215244,0.09597041184761691,0.2559210982603118,1.0,0.09597041184761691
volatility,1,Gemma,0.0024559726294054902,0.0024744789689413503,-0.7535238509697834,-9.124461134413272e-08,-1.5635805227067736,0.11791611191817572,0.2695225415272588,1.0,0.11791611191817572
volatility,21,DeepSeek,0.0036838228216963358,0.003584103690784659,2.7069469879052934,7.247513153545372e-07,0.7894287839504149,0.4298614380803014,0.8597228761606028,1.0,0.4298614380803014
volatility,1,DeepSeek,0.0024559726294054902,0.0024508845292822872,0.20717250926508382,2.4966580513656336e-08,0.6602315782143964,0.5091052305668452,0.9050759654521693,1.0,0.5091052305668452
return,1,DeepSeek,0.00406861998929889,0.00406861998929889,0.0,0.0,,,1.0,1.0,1.0
return,1,Gemma,0.00406861998929889,0.00406861998929889,0.0,0.0,,,1.0,1.0,1.0
return,5,DeepSeek,0.009558051455186662,0.009558051455186662,0.0,0.0,,,1.0,1.0,1.0
return,5,Gemma,0.009558051455186662,0.009558051455186662,0.0,0.0,,,1.0,1.0,1.0
return,10,DeepSeek,0.013793497637909395,0.013793497637909395,0.0,0.0,,,1.0,1.0,1.0
return,10,Gemma,0.013793497637909395,0.013793497637909395,0.0,0.0,,,1.0,1.0,1.0
return,21,DeepSeek,0.021973796211219605,0.021973796211219605,0.0,0.0,,,1.0,1.0,1.0
