target,horizon,LLM,metric,Macro,LLM_value,improvement_vs_macro
direction,1,Gemma,ROC_AUC,0.5112878699263071,0.5236869809334425,0.01239911100713531
direction,1,DeepSeek,ROC_AUC,0.5112878699263071,0.5209966077903848,0.009708737864077666
return,21,Gemma,RMSE,0.021973796211219605,0.01997985059126398,9.074197288393602
volatility,1,DeepSeek,RMSE,0.0024559726294054902,0.0024508845292822872,0.20717250926508382
volatility,21,Gemma,RMSE,0.0036838228216963358,0.0034206218296571225,7.144778801224045
volatility,21,DeepSeek,RMSE,0.0036838228216963358,0.003584103690784659,2.7069469879052934
