feature,max_alpha_nonzero,source,geopolitical_index,representation
USEPUINDXD_ma3,,Macro,,MA3
USEPUINDXD_ma5,,Macro,,MA5
VIXCLS_ma3,,Macro,,MA3
VIXCLS_ma5,,Macro,,MA5
sanctions_max,,Geopolitical,Sanctions,Max
fed_pressure_max,,Geopolitical,Fed Pressure,Max
trade_mean_lag1,,Geopolitical,Trade,Lag
trade_mean_ma3,,Geopolitical,Trade,MA3
trade_max_lag2,,Geopolitical,Trade,Lag
sanctions_sum_lag1,,Geopolitical,Sanctions,Lag
sanctions_sum_ma3,,Geopolitical,Sanctions,MA3
sanctions_mean_ma3,,Geopolitical,Sanctions,MA3
sanctions_max_ma3,,Geopolitical,Sanctions,MA3
sanctions_max_ma10,,Geopolitical,Sanctions,MA10
fed_pressure_sum_diff,,Geopolitical,Fed Pressure,Difference
fed_pressure_mean_diff,,Geopolitical,Fed Pressure,Difference
fed_pressure_mean_lag2,,Geopolitical,Fed Pressure,Lag
fed_pressure_max_ma3,,Geopolitical,Fed Pressure,MA3
fed_pressure_max_ma10,,Geopolitical,Fed Pressure,MA10
