representation,mean,median,max,count
MA10,9.64058470657628e-05,4.328761281083062e-05,0.00032745491628777284,9
Difference,9.40228976682635e-05,4.977023564332114e-05,0.00032745491628777284,7
Lag,6.064229463772543e-05,3.053855508833412e-05,0.0003511191734215131,33
Mean,4.6102180550387446e-05,2.656087782946684e-05,8.697490026177834e-05,3
MA5,2.8870371417618154e-05,9.3260334688322e-06,0.0001,9
Sum,2.6625561122137595e-05,2.6625561122137595e-05,2.8480358684358048e-05,2
Max,1.4378348243765912e-05,1.072267222010323e-05,3.053855508833412e-05,3
MA3,6.101403771409187e-06,5.336699231206313e-06,1.2328467394420658e-05,5
