representation,mean,median,max,count
MA10,0.00012098024933795317,2.656087782946684e-05,0.00037649358067924675,7
Sum,8.674044534458432e-05,2.8480358684358048e-05,0.00021544346900318845,3
Difference,7.316555202753463e-05,6.135907273413175e-05,0.00020092330025650479,7
Lag,5.3740264971152655e-05,4.18288926983981e-05,0.0001629750834620645,32
Max,4.977023564332114e-05,4.977023564332114e-05,4.977023564332114e-05,1
Mean,4.9679794200006436e-05,5.3366992312063123e-05,8.697490026177834e-05,3
MA5,2.0853740740014986e-05,1.873817422860383e-05,4.977023564332114e-05,9
MA3,1.7831161269104573e-05,1.0817103788706374e-05,4.641588833612782e-05,4
