alpha,DGS2_diff,USEPUINDXD_diff,VIXCLS,trade_sum,sanctions_sum,fed_pressure_sum,trade_max,sanctions_max,fed_pressure_max,trade_sum_ma3,sanctions_sum_ma3,fed_pressure_sum_ma3,trade_sum_ma5,sanctions_sum_ma5,fed_pressure_sum_ma5,trade_sum_ma10,sanctions_sum_ma10,fed_pressure_sum_ma10
1e-06,-0.0005152699512595462,0.0002002353223529544,-0.000532645115242006,3.3177294004996785e-05,-0.00020947713177245106,-6.855565650968244e-05,0.0001263135876537841,0.00016037457369635078,9.984304316085821e-05,-0.0005962712133057443,0.00011260379572124197,0.00012693569416710385,0.0008542334503371682,-6.243734607584556e-05,2.2482689246143503e-05,-0.00044104907570858014,-0.00026182640362134137,-0.00020962339325663722
1.0722672220103232e-06,-0.0005152228509710618,0.00020018593469666113,-0.0005325900141283495,3.2938561915129595e-05,-0.00020821636275664352,-6.772193456890635e-05,0.00012620573520145725,0.00015929640371128246,9.926332690653513e-05,-0.0005951116477491354,0.00011189770383830441,0.0001264265497307468,0.0008529288652075678,-6.177804499443686e-05,2.2224476201148297e-05,-0.00044057789890425436,-0.0002619339367046083,-0.00020915495696405381
1.1497569953977357e-06,-0.0005151722853217157,0.00020013322365999394,-0.00053253051276677,3.267947246887579e-05,-0.00020687948223968846,-6.683990749258564e-05,0.00012608537547471725,0.00015815211108028128,9.864987331375251e-05,-0.0005938526333651638,0.00011114156806167903,0.00012589555450461402,0.0008515231772996948,-6.106927062719e-05,2.1937511366922094e-05,-0.0004400748960354157,-0.0002620500544041501,-0.00020865397814406807
1.232846739442066e-06,-0.0005151180697862508,0.00020007671545250165,-0.0005324667190953178,3.2401256281666154e-05,-0.0002054456023077778,-6.589408516052263e-05,0.000125956431340174,0.00015692480099372032,9.799207576858946e-05,-0.0005925021066859186,0.0001103307275354613,0.00012532636768008515,0.0008500157480226446,-6.030930148005198e-05,2.1629620048380033e-05,-0.0004395356475961513,-0.00026217454846149405,-0.00020811681130758147
1.3219411484660288e-06,-0.0005150600579216133,0.00020001592395338616,-0.0005323988206505709,3.210454285490848e-05,-0.00020388967809476189,-6.486729799479499e-05,0.00012582304247220273,0.00015559410228605718,9.727839552634125e-05,-0.0005910656378305759,0.00010945982284997018,0.00012470050067686577,0.0008484030079827736,-5.9496287616602776e-05,2.1309825220419774e-05,-0.0004389546637078944,-0.0002623072081429254,-0.00020753969035483782
1.4174741629268049e-06,-0.0005149977112022909,0.00019995094335757138,-0.0005323254636078947,3.17848934047951e-05,-0.00020224133528484202,-6.3779819883407e-05,0.0001256748370581554,0.00015418323595530384,9.652201091859541e-05,-0.0005895137036123514,0.00010852759576064382,0.0001240461090628133,0.0008466705216599364,-5.8622527713485786e-05,2.0955837408459766e-05,-0.0004383347756306621,-0.00026245032665639736,-0.00020692204719441253
1.519911082952933e-06,-0.000514930694593042,0.00019988111025711865,-0.0005322466980596649,3.144577764616761e-05,-0.0002004762245649387,-6.261392789079009e-05,0.0001255162020049968,0.00015267249060179862,9.570997542477067e-05,-0.0005878608460168247,0.00010752850095984952,0.00012334447500210124,0.0008448214904888933,-5.768600134349636e-05,2.057740237066507e-05,-0.00043767119388695927,-0.00026260344498428394,-0.00020625972022319302
1.6297508346206435e-06,-0.0005148589340667154,0.0001998059950255767,-0.0005321628204154195,3.1083725689111776e-05,-0.0001985607066151812,-6.134993110740981e-05,0.0001253516698922019,0.00015103421125014198,9.482968263921861e-05,-0.0005861020256808962,0.00010645524955109918,0.0001225756048336598,0.0008428438737006309,-5.6684093795693876e-05,2.0183171131594464e-05,-0.00043695695179996573,-0.00026276647839012433,-0.00020554861314419132
1.747528400007683e-06,-0.0005147820415821669,0.00019972585554659284,-0.0005320723570660848,3.0690395060033894e-05,-0.00019652929412033668,-6.000937033009565e-05,0.00012516891356616412,0.00014929546555234128,9.389708715482235e-05,-0.0005841906507406527,0.00010530607374095055,0.00012176888723463643,0.0008407093876913861,-5.560690297344092e-05,1.9746909094145886e-05,-0.0004361928751256748,-0.0002629428870863757,-0.00020478712633700087
1.873817422860383e-06,-0.0005146996822677597,0.00019963999200418674,-0.0005319754059831804,3.0267320992290474e-05,-0.00019435046566246929,-5.8571861395314614e-05,0.00012497258210120268,0.00014743049142000093,9.289766717274265e-05,-0.0005821356486763133,0.00010407368606706731,0.00012090335859068706,0.0008384158634379741,-5.44515982790763e-05,1.927889500359179e-05,-0.0004353726943023284,-0.0002631322792577046,-0.0002039705904641278
