alpha,cv_mse,cv_std
1e-06,0.0065301247879050684,0.01292951191723889
1.0974987654930568e-06,0.00645639502616073,0.012782941070544925
1.204503540258781e-06,0.0063954294886597015,0.012661968751331076
1.3219411484660288e-06,0.006291988774684762,0.012456092022196557
1.4508287784959403e-06,0.006144660537423739,0.012162522596461637
1.592282793341094e-06,0.006051922917092591,0.01197826819274134
1.747528400007683e-06,0.005951938682844008,0.011779691082440018
1.917910261672489e-06,0.005841236629077437,0.011559790235345133
2.104904144512022e-06,0.005730188332610876,0.011339335320728052
2.310129700083158e-06,0.00560327466111945,0.01108723520314419
2.5353644939701112e-06,0.005477570711730733,0.010837536359319996
2.782559402207126e-06,0.005340132313758704,0.010564512798804791
3.0538555088334123e-06,0.005197185317586465,0.010280896585547724
3.3516026509388406e-06,0.004999319259362225,0.009887593266318152
3.6783797718286343e-06,0.004894710725024799,0.009680197075386603
4.037017258596558e-06,0.004696975106542013,0.009286926558985305
4.430621457583877e-06,0.004482481726026547,0.008860566024416958
4.862601580065354e-06,0.00424980724407615,0.008398037420739798
5.336699231206313e-06,0.004006495644638184,0.007914238609234204
5.857020818056673e-06,0.003756029259035322,0.0074160579870637365
6.4280731172843194e-06,0.003485674299792227,0.006878201714667215
7.0548023107186455e-06,0.0032084247446653924,0.006326687979548321
7.742636826811277e-06,0.0029276186750118844,0.005768483181853206
8.497534359086437e-06,0.00265338841224048,0.0052237072775906225
9.3260334688322e-06,0.002393138450928876,0.004707093847604275
1.023531021899027e-05,0.002124942841973795,0.004174606963760963
1.1233240329780266e-05,0.0018483492241146396,0.003625136179016704
1.2328467394420658e-05,0.0015782673067869953,0.0030890003305683784
1.3530477745798076e-05,0.0013376199018748807,0.00261170280351588
1.4849682622544636e-05,0.001143050894691449,0.002226352137616031
1.6297508346206434e-05,0.0009984932017110374,0.0019405637719364696
1.788649529057435e-05,0.0008862042596561954,0.0017183304691459574
1.9630406500402726e-05,0.000831290785550451,0.0016098432972272932
2.1544346900318867e-05,0.0007939134162101324,0.001536530354357575
2.3644894126454072e-05,0.0007502107266431512,0.0014505597558988844
2.5950242113997373e-05,0.0006979902179215643,0.0013474192875870992
2.8480358684358048e-05,0.0006454654880713015,0.0012436273341622614
3.1257158496882356e-05,0.0005904002396178877,0.0011347775513526068
3.4304692863149194e-05,0.0005318776820806083,0.0010189765667482824
3.7649358067924715e-05,0.00047033887098604007,0.0008970009582395348
4.1320124001153344e-05,0.00041222064401108397,0.0007818566608285982
4.534878508128582e-05,0.0003674521383482633,0.0006933842954753081
4.977023564332114e-05,0.0003424340667490714,0.0006443961793434989
