model,n_features,best_alpha,cv_mse,n_selected
DeepSeek_full_124,124,0.0008902150854450393,1.57711241805162e-05,0
Gemma_full_124,124,0.0008111308307896872,1.57711241805162e-05,0
DeepSeek_restricted_18,18,0.0005590810182512228,1.5737456385485083e-05,0
Gemma_restricted_18,18,0.0004229242874389499,1.5667485279645415e-05,2
