model,best_alpha,cv_mse,n_candidate_features,n_selected_features,test_rmse,test_mae,test_r2
DeepSeek_LASSO,0.0008902150854450393,1.57711241805162e-05,124,0,0.0042861051043039415,0.003365329195150507,-0.024624292066442788
Gemma_LASSO,0.0008111308307896872,1.57711241805162e-05,124,0,0.0042861051043039415,0.003365329195150507,-0.024624292066442788
