alpha,DGS2_diff,USEPUINDXD_diff,VIXCLS,trade_sum,sanctions_sum,fed_pressure_sum,trade_max,sanctions_max,fed_pressure_max,trade_sum_ma3,sanctions_sum_ma3,fed_pressure_sum_ma3,trade_sum_ma5,sanctions_sum_ma5,fed_pressure_sum_ma5,trade_sum_ma10,sanctions_sum_ma10,fed_pressure_sum_ma10
1e-06,-0.0005145306108953586,0.00020190380264987286,-0.0005592564921666947,0.00010838816383900103,-0.0005830653795137757,-0.00028357152877383693,-7.175583423376186e-05,0.00042650739445914684,0.0003389961755684899,-0.000178241291622771,-0.00016837009095366416,4.567807697770449e-05,0.000253603885102812,0.00029347398631861417,0.0004076018378467941,-1.528128653131793e-05,-0.00048447692903723995,-0.0006616280697887212
1.0722672220103232e-06,-0.0005144892554903183,0.00020185142601344616,-0.0005592023422479767,0.00010773747081557571,-0.0005819015084842763,-0.00028277508342921837,-7.135302225993925e-05,0.00042532239292217706,0.0003385006600274883,-0.00017730954190305978,-0.000168063112211712,4.50360972976992e-05,0.0002526474118160753,0.0002929859387809431,0.0004073806990074604,-1.4959358532569817e-05,-0.0004842694300914887,-0.0006610505051049439
1.1497569953977357e-06,-0.0005144448236791,0.0002017957392997654,-0.0005591448577996217,0.00010702803804715105,-0.0005806474470974479,-0.0002819187565039235,-7.092537161114065e-05,0.0004240439467628566,0.00033796976197888947,-0.0001762659186832265,-0.00016773314682628376,4.435118927310206e-05,0.00025159009413655694,0.0002924651405614612,0.0004071399275877145,-1.4612814867105426e-05,-0.0004840490350595538,-0.0006604325840553887
1.232846739442066e-06,-0.0005143971809043169,0.00020173602826198463,-0.0005590832191098767,0.00010626733654334966,-0.0005793027581779634,-0.00028100054521060523,-7.04668158379636e-05,0.0004226731108511132,0.0003374004974031488,-0.00017514687571247017,-0.0001673793357590911,4.361678484823475e-05,0.00025045636704555647,0.00029190670570142864,0.0004068817562863246,-1.4241227453632607e-05,-0.00048381271269091575,-0.0006597700075681613
1.3219411484660288e-06,-0.0005143460951185509,0.00020167200207337995,-0.0005590171259632558,0.00010545166125508922,-0.0005778608923258018,-0.00028001597733790065,-6.997512151292161e-05,0.0004212032084361974,0.0003367900936579303,-0.0001739469626149056,-0.00016699995574895551,4.282930705574957e-05,0.00024924070864717075,0.0002913079143053884,0.00040660492766218196,-1.3842786450053695e-05,-0.0004835593119611975,-0.0006590595485188328
1.4174741629268049e-06,-0.0005142913975153066,0.00020160281489646853,-0.0005589455689369968,0.00010459039780540832,-0.0005763208621697239,-0.00027896299640145446,-6.944282509752792e-05,0.0004196352076206906,0.000336134941147143,-0.00017271242444075188,-0.0001665941899275721,4.1981238390434336e-05,0.00024797483965985676,0.0002906628668890292,0.0004063125698220917,-1.341744916190086e-05,-0.0004832850890495712,-0.0006582964975590794
1.519911082952933e-06,-0.0005142326596418383,0.0002015291986414559,-0.0005588695761200643,0.00010365260812657438,-0.0005746631682565644,-0.00027783100114821675,-6.887752081045719e-05,0.0004179452633333331,0.0003354331245278095,-0.00017133286277969923,-0.00016615797744033603,4.1075880753412506e-05,0.00024657717802893886,0.0002899743965109569,0.00040599424825190267,-1.2959355468534605e-05,-0.0004829937392762584,-0.0006574796404313044
1.6297508346206435e-06,-0.0005141696769454253,0.00020145026234419868,-0.0005587880915133599,0.00010264704699282198,-0.000572885677409356,-0.00027661719974269997,-6.827136355296911e-05,0.00041613319146697526,0.0003346805895710376,-0.00016985360402980954,-0.00016569024108844345,4.010509543503882e-05,0.0002450785112746411,0.0002892361722912265,0.000405652922466129,-1.246815661652611e-05,-0.0004826813344641946,-0.0006566037513081255
1.747528400007683e-06,-0.0005141021426230107,0.0002013656215348142,-0.0005587007181400588,0.00010156881733812315,-0.0005709797310339324,-0.0002753156806554669,-6.762140022969353e-05,0.0004141901653449562,0.0003338736706150551,-0.00016826744926310756,-0.00016518870299455876,3.9064155163690474e-05,0.00024347154601573316,0.00028844459815628953,0.0004052869301796841,-1.1941461540083085e-05,-0.0004823463525466315,-0.0006556645645120802
1.873817422860383e-06,-0.0005140297275614382,0.00020127486394149615,-0.0005586070300002595,0.00010041267016101442,-0.0005689360407963054,-0.00027392010639334306,-6.692446178505732e-05,0.0004121067175594041,0.00033300843579656234,-0.00016656669897816416,-0.00016465092154786595,3.79479943904758e-05,0.0002417484817207856,0.00028759581648276966,0.0004048944895308119,-1.1376710883222772e-05,-0.0004819871598697953,-0.0006546575074328341
2.0092330025650458e-06,-0.0005139520792645353,0.0002011775475490316,-0.0005585065712788601,9.917297143918214e-05,-0.0005667446587425557,-0.0002724236778561867,-6.617715753511634e-05,0.000409872704790187,0.00033208067286134976,-0.00016474304019479562,-0.00016407427612997284,3.6751171778866076e-05,0.0002399008963558969,0.0002866856957156115,0.0004044736882864413,-1.0771147265262248e-05,-0.00048160200933603723,-0.0006535776731360658
2.1544346900318822e-06,-0.000513868819540921,0.00020107319837122783,-0.0005583988526847398,9.784368313459217e-05,-0.0005643949115954171,-0.0002708191065857126,-6.53758476830346e-05,0.00040747724612420267,0.00033108586307612506,-0.00016278759065725622,-0.000163455958149643,3.5467858121873965e-05,0.00023791979112925882,0.00028570980304891625,0.000404022476905123,-1.0121821246880215e-05,-0.00048118902504314917,-0.0006524198022144381
2.310129700083158e-06,-0.0005137794773426256,0.00020096185688311347,-0.0005582840528299375,9.64046344468638e-05,-0.00056186844143684,-0.00026909567522817135,-6.452148582200776e-05,0.0004048997996312518,0.00033001980532072235,-0.00016063830663244502,-0.00016279207806766318,3.409503798553434e-05,0.0002357574125534844,0.0002846664210161577,0.0004035344957540243,-9.423519782678612e-06,-0.0004807487117751062,-0.0006511795185335843
