model,geopolitical_spec,n_obs,n_test,any_lag_converged,converged_lags,selected_lag,selected_lag_aic,selected_lag_bic,selected_lag_hqic,eurusd_rmse,eurusd_mae,eurusd_rmse_vs_naive,final_model_converged,trade_p_eurusd,sanctions_p_eurusd,fed_p_eurusd,trade_p_epu,sanctions_p_epu,fed_p_epu
3a,MAX,992,20,False,,3,2555.5209341858526,2687.263540906285,2605.6612849682474,0.0112,0.0098,3.2643,True,0.7137025098791072,0.3519640403443844,0.3411831196689185,0.0049685842863219,0.6272850240646269,0.4732373462748619
3b,SUM,992,20,True,3,3,2554.2811182664104,2686.0237249868424,2604.421469048805,0.0114,0.0099,3.3028,True,0.7322271238467322,0.7738500962758417,0.3710536289922783,0.0005169499000255,0.8349047755765091,0.6295096511481622
3c,SUM_MA3,992,20,True,"2, 3",3,2555.019611725448,2686.76221844588,2605.159962507843,0.0098,0.0085,2.8346,True,0.2822765100028711,0.7503163241152199,0.4371414279266923,0.0174446978647624,0.9316590270030278,0.8686143331138674
3d,SUM_MA5,992,20,False,,3,2557.25062574639,2688.993232466822,2607.390976528785,0.0105,0.0091,3.045,True,0.6490974735837833,0.6378053973411261,0.3986942910249286,0.0534505805571228,0.6278658790228946,0.3658134201718751
3e,SUM_MA10,992,20,True,"1, 2, 3",3,2557.8267700447577,2689.5693767651896,2607.9671208271525,0.0077,0.0065,2.2275,True,0.3746222959950528,0.1240115718055768,0.6367714135440423,0.470183799198988,0.885268613995678,0.8182005438587874
3_restricted,NONE,992,20,True,"2, 3",3,2551.9519125302186,2654.418384423888,2590.949963138748,0.0118,0.0104,3.4404,True,,,,,,
