,DEXUSEU_logreturn,DGS2_diff,USEPUINDXD_diff,VIXCLS,trade_sum,sanctions_sum,fed_pressure_sum,trade_max,sanctions_max,fed_pressure_max,trade_sum_ma3,sanctions_sum_ma3,fed_pressure_sum_ma3,trade_sum_ma5,sanctions_sum_ma5,fed_pressure_sum_ma5,trade_sum_ma10,sanctions_sum_ma10,fed_pressure_sum_ma10
DEXUSEU_logreturn,1.0,-0.10075448208317882,-0.007157741053384451,-0.037631794407580785,-0.006186598221287328,-0.01334129916466806,0.027999381688302048,-0.005488265190642771,-0.03435751722418958,0.02706478290196619,-0.045984402722791355,-0.028240168144444987,-0.010149532085151666,-0.025544561342331785,-0.023320300778338836,-0.027659166842157856,-0.06021411273870268,-0.07203141106271248,-0.06737006475911696
DGS2_diff,-0.10075448208317882,1.0,0.02273514146157574,-0.15278109514535007,-0.06207786022324629,-0.002315781017314329,-0.07092527988084843,-0.06657835397591058,0.0007176268700790359,-0.08214667750377172,-0.05313292589671944,0.02827224516642067,-0.07769329900657186,-0.05073914972003837,0.0164536155476886,-0.07434082749467019,-0.017654350130837968,-0.006636146590061663,-0.052114207682848065
USEPUINDXD_diff,-0.007157741053384451,0.02273514146157574,1.0,0.03184606568774892,0.06610924604740352,0.008606153274161728,-0.012602831012294795,0.05209494486249183,-0.006079084801214169,-0.007396837020105039,0.04397786995246749,0.008070100563422835,0.01418576954144622,0.03424678075924246,0.00866250806498081,0.012047913664708698,0.0074901937800850235,-0.0032315434876696255,0.013078843177885957
VIXCLS,-0.037631794407580785,-0.15278109514535007,0.03184606568774892,1.0,0.036263620504211794,-0.051961227034451954,0.02783559459138273,0.040176117047364075,-0.046658641064826846,0.047930642912577426,0.058007165298123886,-0.07348825846352518,0.041544412745621116,0.05371615420231063,-0.09961039459795508,0.06290094082473831,0.037828304979977925,-0.13377604537863416,0.09679373319374351
trade_sum,-0.006186598221287328,-0.06207786022324629,0.06610924604740352,0.036263620504211794,1.0,0.27029483452441466,0.2765199505865725,0.7871988005028491,0.25441316390714824,0.2830608671384208,0.6891912392110616,0.17297368567005372,0.17355185863020883,0.6048589311676539,0.14729209651949507,0.20925801807982788,0.48161534352397256,0.11851678280670178,0.22941252445285226
sanctions_sum,-0.01334129916466806,-0.002315781017314329,0.008606153274161728,-0.051961227034451954,0.27029483452441466,1.0,0.12659342560240855,0.2564727971246643,0.860927302896092,0.13114746053791065,0.1746224621755837,0.687935549546107,0.09697181105513575,0.14938081877543477,0.5506942519837156,0.10509764933606289,0.10834868162578593,0.4017749513986245,0.0865155747330789
fed_pressure_sum,0.027999381688302048,-0.07092527988084843,-0.012602831012294795,0.02783559459138273,0.2765199505865725,0.12659342560240855,1.0,0.20769354397716316,0.11764966733657904,0.8656345799936416,0.23808273696183802,0.09259320139131139,0.7031470437086816,0.2292266157599868,0.0789791740456364,0.6384933774764413,0.25536472532171967,0.06815608372475407,0.5757121920673537
trade_max,-0.005488265190642771,-0.06657835397591058,0.05209494486249183,0.040176117047364075,0.7871988005028491,0.2564727971246643,0.20769354397716316,1.0,0.2597519162104689,0.2267647942046321,0.5959366606262315,0.1914521582031096,0.16123186318907481,0.4958762362762182,0.17224758173317814,0.19189093478875405,0.4054689828745174,0.14842833741217307,0.20288658982192867
sanctions_max,-0.03435751722418958,0.0007176268700790359,-0.006079084801214169,-0.046658641064826846,0.25441316390714824,0.860927302896092,0.11764966733657904,0.2597519162104689,1.0,0.10771651609487488,0.18935538553334905,0.6134751629114059,0.12443944687043487,0.1713606565392043,0.5102665106551265,0.13052818503193872,0.12510186596239,0.3520239649972054,0.09716426581225741
fed_pressure_max,0.02706478290196619,-0.08214667750377172,-0.007396837020105039,0.047930642912577426,0.2830608671384208,0.13114746053791065,0.8656345799936416,0.2267647942046321,0.10771651609487488,1.0,0.23243248559216806,0.09022694680647463,0.630289095160993,0.23558983203415837,0.05936596340300076,0.5902968306869182,0.24776958243252467,0.059781777303419964,0.5579495851267908
