Predictor,Lag_1_pvalue,Lag_2_pvalue,Lag_3_pvalue
DGS2_diff,0.011703567790066694,0.01907874775415517,0.029341596716746087
USEPUINDXD_diff,0.9105927672152158,0.9666096292540521,0.9208785591130699
VIXCLS,0.24452562462703586,0.0016763663223946684,0.002574879284579959
trade_sum,0.9835146978189658,0.7221997565035877,0.6284872491433857
sanctions_sum,0.7541170506347795,0.9428234114956049,0.40730292090077225
fed_pressure_sum,0.5243228071001566,0.6056726263792778,0.35275490496559964
trade_max,0.29444342572524596,0.32877763839301544,0.5170030746165653
sanctions_max,0.959969581515957,0.7719940757648043,0.23512315756977953
fed_pressure_max,0.6585387193650019,0.6557279313096129,0.3888670096366255
trade_sum_ma3,0.24311928194653962,0.4022949194496072,0.5000530039685738
sanctions_sum_ma3,0.2821513857508979,0.40615288730057875,0.2799877376128317
fed_pressure_sum_ma3,0.21063426437660396,0.42941171487625346,0.32282267094593475
trade_sum_ma5,0.4455468812593004,0.07374779929659614,0.1275574719661575
sanctions_sum_ma5,0.18642611255177954,0.14952930150719504,0.07920589343315941
fed_pressure_sum_ma5,0.12514294395217576,0.21087757844292424,0.10046473326312244
trade_sum_ma10,0.02829931323418003,0.06975261771335113,0.13804555841036098
sanctions_sum_ma10,0.018923907088838482,0.0596212021180046,0.11786987702620574
fed_pressure_sum_ma10,0.021359706723069093,0.043990217954609064,0.11247756657771504
