date,trade_max,sanctions_max,fed_pressure_max
2017-06-18,0.0,0.0,0.0
2017-06-19,0.0,0.0,0.0
2017-06-20,0.0,0.0,0.0
2017-06-21,20.0,0.0,0.0
2017-06-22,0.0,0.0,0.0
2017-06-23,0.0,0.0,0.0
2017-06-24,0.0,0.0,0.0
2017-06-25,0.0,0.0,0.0
2017-06-26,0.0,0.0,0.0
2017-06-27,0.0,0.0,0.0
2017-06-28,0.0,0.0,0.0
2017-06-29,40.0,40.0,0.0
2017-06-30,76.0,57.0,0.0
2017-07-01,0.0,0.0,0.0
2017-07-02,0.0,0.0,0.0
2017-07-03,50.0,0.0,0.0
2017-07-04,0.0,40.0,0.0
2017-07-05,57.0,18.0,0.0
2017-07-06,0.0,0.0,0.0
2017-07-07,20.0,0.0,0.0
2017-07-08,25.0,10.0,0.0
2017-07-09,64.0,57.0,0.0
2017-07-10,0.0,0.0,0.0
2017-07-11,0.0,0.0,0.0
2017-07-12,10.0,0.0,0.0
2017-07-13,0.0,0.0,0.0
2017-07-14,23.0,0.0,0.0
2017-07-15,47.0,0.0,0.0
2017-07-16,0.0,0.0,0.0
2017-07-17,27.0,0.0,0.0
2017-07-18,0.0,0.0,0.0
2017-07-19,0.0,0.0,0.0
2017-07-20,0.0,0.0,0.0
2017-07-21,0.0,0.0,0.0
2017-07-22,0.0,0.0,0.0
2017-07-23,0.0,0.0,0.0
2017-07-24,0.0,0.0,0.0
2017-07-25,72.0,0.0,0.0
2017-07-26,0.0,0.0,0.0
2017-07-27,0.0,0.0,0.0
2017-07-28,0.0,0.0,0.0
2017-07-29,78.0,18.0,0.0
2017-07-30,0.0,0.0,0.0
2017-07-31,0.0,0.0,0.0
2017-08-01,0.0,0.0,0.0
2017-08-02,0.0,0.0,0.0
2017-08-03,25.0,0.0,0.0
2017-08-04,20.0,0.0,0.0
2017-08-05,0.0,82.0,0.0
2017-08-06,0.0,0.0,0.0
2017-08-07,76.0,58.0,0.0
2017-08-08,0.0,40.0,0.0
2017-08-09,0.0,20.0,0.0
2017-08-10,0.0,0.0,0.0
2017-08-11,0.0,20.0,0.0
2017-08-12,0.0,0.0,0.0
2017-08-13,0.0,0.0,0.0
2017-08-14,65.0,0.0,0.0
2017-08-15,0.0,0.0,0.0
2017-08-16,50.0,0.0,0.0
2017-08-17,0.0,0.0,0.0
2017-08-18,20.0,0.0,0.0
2017-08-19,0.0,0.0,0.0
2017-08-20,0.0,0.0,0.0
2017-08-21,0.0,0.0,0.0
2017-08-22,20.0,0.0,0.0
2017-08-23,0.0,0.0,0.0
2017-08-24,20.0,0.0,0.0
2017-08-25,20.0,0.0,0.0
2017-08-26,0.0,0.0,0.0
2017-08-27,84.0,10.0,0.0
2017-08-28,0.0,0.0,0.0
2017-08-29,0.0,0.0,0.0
2017-08-30,40.0,20.0,0.0
2017-08-31,0.0,0.0,0.0
2017-09-01,0.0,0.0,0.0
2017-09-02,0.0,0.0,0.0
2017-09-03,89.0,96.0,0.0
2017-09-04,0.0,0.0,0.0
2017-09-05,40.0,0.0,0.0
2017-09-06,0.0,0.0,0.0
2017-09-07,0.0,0.0,0.0
2017-09-08,0.0,0.0,0.0
2017-09-09,0.0,0.0,0.0
2017-09-10,0.0,0.0,0.0
2017-09-11,0.0,0.0,0.0
2017-09-12,0.0,0.0,0.0
2017-09-13,0.0,0.0,0.0
2017-09-14,40.0,0.0,0.0
2017-09-15,50.0,57.0,0.0
2017-09-16,0.0,0.0,0.0
2017-09-17,40.0,0.0,0.0
2017-09-18,0.0,0.0,0.0
2017-09-19,0.0,0.0,0.0
2017-09-20,28.0,0.0,0.0
2017-09-21,20.0,0.0,0.0
2017-09-22,0.0,89.0,0.0
2017-09-23,40.0,70.0,0.0
2017-09-24,0.0,0.0,0.0
2017-09-25,0.0,0.0,0.0
2017-09-26,0.0,80.0,0.0
2017-09-27,20.0,0.0,0.0
2017-09-28,0.0,0.0,0.0
2017-09-29,10.0,0.0,0.0
2017-09-30,10.0,0.0,0.0
2017-10-01,40.0,20.0,0.0
2017-10-02,0.0,0.0,0.0
2017-10-03,0.0,0.0,0.0
2017-10-04,0.0,0.0,0.0
2017-10-05,0.0,0.0,0.0
2017-10-06,0.0,0.0,0.0
2017-10-07,0.0,0.0,0.0
2017-10-08,0.0,27.0,0.0
2017-10-09,0.0,0.0,0.0
2017-10-10,0.0,0.0,0.0
2017-10-11,20.0,0.0,0.0
2017-10-12,0.0,0.0,0.0
2017-10-13,0.0,50.0,0.0
2017-10-14,58.0,45.0,0.0
2017-10-15,70.0,0.0,0.0
2017-10-16,20.0,0.0,0.0
2017-10-17,0.0,0.0,0.0
2017-10-18,10.0,40.0,0.0
2017-10-19,0.0,25.0,0.0
2017-10-20,0.0,0.0,0.0
2017-10-21,0.0,0.0,0.0
2017-10-22,0.0,0.0,0.0
2017-10-23,0.0,0.0,40.0
2017-10-24,40.0,0.0,0.0
2017-10-25,24.0,12.0,0.0
2017-10-26,0.0,0.0,0.0
2017-10-27,0.0,0.0,40.0
