Method,LLM,RMSE,MAE,R2
LASSO,DeepSeek,0.0042861051043039,0.0033653291951505,-0.0246242920664427
LASSO,Gemma,0.0042861051043039,0.0033653291951505,-0.0246242920664427
Ridge,DeepSeek,0.0044741380405025,0.0034675325130042,-0.116497546961662
Ridge,Gemma,0.0043618838330644,0.0034077033371618,-0.0611754765667913
Elastic Net,DeepSeek,0.0042861051043039,0.0033653291951505,-0.0246242920664427
Elastic Net,Gemma,0.0042861051043039,0.0033653291951505,-0.0246242920664427
Mean Benchmark,—,0.0042861051043039,0.0033653291951505,-0.0246242920664427
Zero Benchmark,—,0.004286889580202,0.0033658666330908,-0.0249993956163459
