Variable,Coefficient,Absolute_Coefficient
VIXCLS,-0.00044967646279140934,0.00044967646279140934
DGS2_diff,-0.00040945119327288714,0.00040945119327288714
sanctions_sum_ma10,-0.00016120910559021918,0.00016120910559021918
fed_pressure_sum,7.54959831734611e-05,7.54959831734611e-05
fed_pressure_sum_ma10,-4.142415532270315e-05,4.142415532270315e-05
sanctions_max,-3.208072751144826e-05,3.208072751144826e-05
