date,trade_sum_ma10,sanctions_sum_ma10,fed_pressure_sum_ma10
2017-01-01,,,
2017-01-02,,,
2017-01-03,,,
2017-01-04,,,
2017-01-05,,,
2017-01-06,,,
2017-01-07,,,
2017-01-08,,,
2017-01-09,,,
2017-01-10,37.5,8.5,0.0
2017-01-11,37.5,8.5,0.0
2017-01-12,32.5,2.5,0.0
2017-01-13,23.5,2.5,0.0
2017-01-14,18.5,2.5,0.0
2017-01-15,18.5,2.5,0.0
2017-01-16,14.5,4.5,0.0
2017-01-17,14.5,4.5,0.0
2017-01-18,18.5,4.5,0.0
2017-01-19,8.0,2.0,0.0
2017-01-20,13.1,4.5,0.0
2017-01-21,14.6,4.5,0.0
2017-01-22,14.6,4.5,0.0
2017-01-23,16.6,4.5,0.0
2017-01-24,16.6,4.5,0.0
2017-01-25,13.6,4.5,0.0
2017-01-26,20.6,3.7,0.0
2017-01-27,26.9,4.2,0.0
2017-01-28,22.9,4.2,0.0
2017-01-29,22.9,4.2,0.0
2017-01-30,21.8,1.7,0.0
2017-01-31,20.3,1.7,0.0
2017-02-01,20.3,1.7,0.0
2017-02-02,22.8,11.7,0.2
2017-02-03,22.8,11.7,0.2
2017-02-04,28.8,15.7,0.2
2017-02-05,21.8,14.5,0.2
2017-02-06,15.5,14.0,0.2
2017-02-07,15.5,16.0,0.2
2017-02-08,15.5,16.5,0.2
2017-02-09,11.5,16.5,0.2
2017-02-10,11.5,16.5,0.2
2017-02-11,12.5,17.0,0.2
2017-02-12,8.0,9.0,0.0
2017-02-13,8.0,9.0,0.0
2017-02-14,2.0,10.0,0.0
2017-02-15,3.0,10.0,0.0
2017-02-16,3.0,10.0,0.0
2017-02-17,3.0,8.0,0.0
2017-02-18,3.0,7.5,0.0
2017-02-19,4.0,7.5,0.0
2017-02-20,4.0,7.5,0.0
2017-02-21,3.0,7.0,0.0
2017-02-22,3.0,5.0,0.0
2017-02-23,3.0,5.0,0.0
2017-02-24,2.0,0.0,0.0
2017-02-25,1.0,0.0,0.0
2017-02-26,1.0,0.0,0.0
2017-02-27,1.0,0.0,0.0
2017-02-28,1.0,0.0,0.0
2017-03-01,0.0,0.0,0.0
2017-03-02,0.0,0.0,0.0
2017-03-03,0.0,0.0,0.0
2017-03-04,0.0,0.0,0.0
2017-03-05,0.0,0.0,0.0
2017-03-06,0.0,0.0,0.0
2017-03-07,0.0,0.0,0.0
2017-03-08,0.0,0.0,0.0
2017-03-09,0.5,0.3,0.0
2017-03-10,0.5,0.3,0.0
2017-03-11,0.5,0.3,0.0
2017-03-12,0.5,0.3,0.0
2017-03-13,0.5,0.3,0.0
2017-03-14,0.5,0.3,0.0
2017-03-15,1.5,0.3,0.0
2017-03-16,1.5,0.3,0.0
2017-03-17,6.0,2.8,0.0
2017-03-18,10.0,2.8,0.0
2017-03-19,9.5,2.5,0.0
2017-03-20,9.5,2.5,0.0
2017-03-21,9.5,2.5,0.0
2017-03-22,9.5,2.5,0.0
2017-03-23,9.5,2.5,0.0
2017-03-24,9.5,2.5,0.0
2017-03-25,8.5,2.5,0.0
2017-03-26,8.5,2.5,0.0
2017-03-27,8.0,0.0,0.0
2017-03-28,8.0,2.0,0.0
2017-03-29,8.0,2.0,0.0
2017-03-30,15.3,2.8,0.0
2017-03-31,19.3,2.8,0.0
2017-04-01,19.3,2.8,0.0
2017-04-02,19.3,2.8,0.0
2017-04-03,19.3,8.8,0.0
2017-04-04,19.3,8.8,0.0
2017-04-05,19.3,8.8,0.0
2017-04-06,15.3,8.8,0.0
2017-04-07,11.3,6.8,0.0
2017-04-08,12.5,6.8,0.0
2017-04-09,5.2,6.0,0.0
2017-04-10,1.2,6.0,0.0
2017-04-11,7.0,9.3,0.0
2017-04-12,8.0,9.3,0.0
2017-04-13,10.0,7.3,0.0
2017-04-14,10.0,7.3,0.0
2017-04-15,10.0,7.3,0.0
2017-04-16,14.0,7.3,0.0
2017-04-17,19.0,7.3,0.0
2017-04-18,17.8,7.3,0.0
2017-04-19,19.8,7.3,0.0
2017-04-20,22.3,7.5,0.0
2017-04-21,22.2,7.0,0.0
2017-04-22,21.2,7.0,0.0
2017-04-23,23.2,3.0,0.0
2017-04-24,23.2,3.0,0.0
2017-04-25,28.2,3.0,0.0
2017-04-26,27.7,3.0,0.0
2017-04-27,36.2,3.0,0.0
2017-04-28,38.2,7.0,0.0
2017-04-29,36.2,7.0,0.0
2017-04-30,33.7,6.8,0.0
2017-05-01,28.0,4.0,0.0
2017-05-02,28.0,4.0,0.0
2017-05-03,24.0,4.0,0.0
2017-05-04,24.0,4.0,0.0
2017-05-05,19.5,4.3,0.0
2017-05-06,16.0,4.3,0.0
2017-05-07,8.5,4.3,0.0
2017-05-08,6.5,0.3,0.0
2017-05-09,6.5,0.3,0.0
2017-05-10,6.5,0.3,0.0
2017-05-11,6.5,0.3,0.0
2017-05-12,6.5,0.3,0.5
2017-05-13,6.5,0.3,0.5
2017-05-14,6.5,0.3,0.5
2017-05-15,6.0,0.0,0.5
2017-05-16,6.0,2.0,0.5
2017-05-17,0.0,2.0,0.5
2017-05-18,1.0,2.0,0.5
2017-05-19,1.0,2.0,0.5
2017-05-20,1.0,2.0,0.5
2017-05-21,1.0,2.0,0.5
2017-05-22,1.0,2.0,0.0
2017-05-23,1.0,2.0,0.0
2017-05-24,1.0,2.0,0.0
2017-05-25,1.0,2.0,0.0
2017-05-26,1.0,0.0,0.0
2017-05-27,13.5,1.5,0.0
2017-05-28,16.5,1.5,0.0
2017-05-29,19.0,3.3,0.0
2017-05-30,27.3,4.1,0.0
2017-05-31,27.3,4.1,0.0
2017-06-01,27.8,4.6,0.0
2017-06-02,27.8,4.6,0.0
2017-06-03,27.8,4.6,0.0
2017-06-04,27.8,4.6,0.0
2017-06-05,27.8,4.6,0.0
2017-06-06,15.3,5.1,0.0
2017-06-07,11.3,5.1,0.0
2017-06-08,8.8,3.3,0.0
2017-06-09,2.5,2.5,0.0
2017-06-10,6.5,2.5,0.0
2017-06-11,6.0,2.0,0.0
2017-06-12,6.1,2.0,0.0
2017-06-13,6.1,2.0,0.0
2017-06-14,6.1,2.0,0.0
2017-06-15,6.1,2.0,0.0
2017-06-16,7.6,0.8,0.2
2017-06-17,7.6,0.8,0.2
2017-06-18,7.6,0.8,0.2
2017-06-19,5.6,0.8,0.2
2017-06-20,1.6,0.8,0.2
2017-06-21,4.6,0.8,0.2
2017-06-22,4.5,0.8,0.2
2017-06-23,4.5,0.8,0.2
2017-06-24,4.5,0.8,0.2
2017-06-25,4.5,0.8,0.2
2017-06-26,3.0,0.0,0.0
2017-06-27,3.0,0.0,0.0
2017-06-28,3.0,0.0,0.0
2017-06-29,7.0,4.0,0.0
2017-06-30,16.6,10.5,0.0
2017-07-01,13.6,10.5,0.0
2017-07-02,13.6,10.5,0.0
2017-07-03,18.6,10.5,0.0
2017-07-04,18.6,14.5,0.0
2017-07-05,30.0,16.3,0.0
2017-07-06,30.0,16.3,0.0
2017-07-07,32.0,16.3,0.0
2017-07-08,34.5,17.3,0.0
2017-07-09,36.9,19.0,0.0
2017-07-10,27.3,12.5,0.0
2017-07-11,27.3,12.5,0.0
2017-07-12,28.3,12.5,0.0
2017-07-13,23.3,12.5,0.0
2017-07-14,27.6,8.5,0.0
2017-07-15,20.9,6.7,0.0
2017-07-16,20.9,6.7,0.0
2017-07-17,21.6,6.7,0.0
2017-07-18,19.1,5.7,0.0
2017-07-19,12.7,0.0,0.0
2017-07-20,12.7,0.0,0.0
2017-07-21,12.7,0.0,0.0
2017-07-22,11.7,0.0,0.0
2017-07-23,11.7,0.0,0.0
2017-07-24,7.4,0.0,0.0
2017-07-25,10.4,0.0,0.0
2017-07-26,10.4,0.0,0.0
2017-07-27,7.7,0.0,0.0
2017-07-28,7.7,0.0,0.0
2017-07-29,18.5,1.8,0.0
2017-07-30,18.5,1.8,0.0
2017-07-31,18.5,1.8,0.0
2017-08-01,18.5,1.8,0.0
2017-08-02,18.5,1.8,0.0
2017-08-03,21.0,1.8,0.0
2017-08-04,15.3,1.8,0.0
2017-08-05,15.3,19.0,0.0
2017-08-06,15.3,19.0,0.0
2017-08-07,22.9,29.5,0.0
2017-08-08,12.1,31.7,0.0
2017-08-09,12.1,33.7,0.0
2017-08-10,12.1,33.7,0.0
2017-08-11,12.1,35.7,0.0
2017-08-12,12.1,35.7,0.0
2017-08-13,9.6,35.7,0.0
2017-08-14,29.3,35.7,0.0
2017-08-15,29.3,18.5,0.0
2017-08-16,34.3,18.5,0.0
2017-08-17,26.7,8.0,0.0
2017-08-18,28.7,4.0,0.0
